"% GC","PE1.R1","PE1.R2","PE2.R1","PE2.R2","PE3.R1","PE3.R2","PE1.R1.clean","PE1.R2.clean","PE2.R1.clean","PE2.R2.clean","PE3.R1.clean","PE3.R2.clean"
87,0,0.0004664766551757918,0.0011827084387156879,0.004005060940643177,0.024597020113689444,0.0530116784121783,0,0,0.0010047616568337038,0.003057713441888156,0.0028899790610443935,0.0091748755531197
88,0,0.0006997149827636875,0.0009097757220889906,0.003094819817769727,0.022393375409497707,0.04877136543048341,0,0,0.0012787875632428957,0.002518116952143187,0.002537542590185321,0.007948864282438507
89,0,0.0004664766551757918,0.001364663583133486,0.0024576510317583125,0.01893272210643604,0.04372337378560853,0,0,0.0011874455944398316,0.002248318707270703,0.002269690872332426,0.0071405052028684895
90,0,0,0.001546618727551284,0.0020025304703215883,0.01728774789063094,0.04108288584828937,0,0,0.0010047616568337038,0.0017986549658165626,0.0018749620249702648,0.005833658024230294
91,0,0,0.0008187981498800915,0.002184578694896278,0.01620144416321248,0.03845793019295443,0,0,0.0005480518128183838,0.0012590584760715936,0.0011559916244177574,0.003758869720000582
92,0,0,0.0002729327166266972,0.0025486751440456576,0.014851323816278107,0.036081491049367184,0,0,0,0.0009892602311991092,0.0005498008945401529,0.002425077238710053
93,0,0.0002332383275878959,0.00036391028883559623,0.002275602807183623,0.015037547312406986,0.033906971571574934,0,0,0,0.0008093947346174531,0.00029604663552162074,0.002074788304229712
94,0,0.0004664766551757918,0.00036391028883559623,0.0024576510317583125,0.014323690577246282,0.03148393558203499,0,0,0.00018268393760612796,0.0008093947346174531,0.00016916950601235473,0.0018996438369895416
95,0,0.0006997149827636875,0.00009097757220889906,0.0024576510317583125,0.012802865358860436,0.027864913879709307,0,0,0.0003653678752122559,0.0008093947346174531,0.00014097458834362895,0.0018188079290325397
96,0,0.0004664766551757918,0.00009097757220889906,0.002730723368620348,0.012414899741925271,0.02514676453246899,0,0,0.0003653678752122559,0.0008993274829082813,0.00014097458834362895,0.0018188079290325397
97,0,0.0002332383275878959,0.00018195514441779812,0.002184578694896278,0.013501203469343734,0.023049906464597893,0,0.0005540589806866121,0.0003653678752122559,0.0013489912243624218,0.00009868221184054027,0.0011451753627241916
98,0,0.0011661916379394793,0.00009097757220889906,0.001820482245746898,0.01634111178530914,0.019881320939814894,0,0.001883800534334481,0.00018268393760612796,0.005395964897449687,0.00005638983533745158,0.00035028893448034096
99,0,0.001399429965527375,0,0.002366626919470968,0.01492891693966514,0.015252700908514237,0,0.0028811066995703826,0,0.024191909290232766,0.00005638983533745158,0.00022903507254483832
100,0,0.0023323832758789585,0,0.016839460773158812,0.00727823497370369,0.02735234857422971,0,0.003435165680256995,0,0.04712476010439393,0.00005638983533745158,0.00021556242121867136
